step,v2i_rate
1.000000000000000000e+00,9.986923169634010833e+01
2.000000000000000000e+00,9.986923169634010833e+01
3.000000000000000000e+00,9.408445244026881937e+01
4.000000000000000000e+00,9.986923169634010833e+01
5.000000000000000000e+00,9.543386539407849511e+01
6.000000000000000000e+00,9.489239640642132656e+01
7.000000000000000000e+00,9.931435354361937584e+01
8.000000000000000000e+00,9.778686166571743854e+01
9.000000000000000000e+00,9.398528240945596224e+01
1.000000000000000000e+01,1.042921761158989256e+02
1.100000000000000000e+01,1.049717441406140068e+02
1.200000000000000000e+01,1.049717441406140068e+02
1.300000000000000000e+01,9.978540375651964212e+01
1.400000000000000000e+01,1.049717441406140068e+02
1.500000000000000000e+01,1.010347462754812540e+02
1.600000000000000000e+01,1.003635240463564031e+02
1.700000000000000000e+01,9.908400849444788605e+01
1.800000000000000000e+01,9.576895379332485447e+01
1.900000000000000000e+01,9.784821249177947777e+01
2.000000000000000000e+01,1.045929196518731743e+02
2.100000000000000000e+01,1.097195797186990376e+02
2.200000000000000000e+01,1.101530889859883047e+02
2.300000000000000000e+01,1.060157313138944914e+02
2.400000000000000000e+01,1.055222539277633871e+02
2.500000000000000000e+01,1.101530889859883047e+02
2.600000000000000000e+01,1.027886815159300653e+02
2.700000000000000000e+01,1.101530889859883047e+02
2.800000000000000000e+01,1.097195797186990376e+02
2.900000000000000000e+01,1.072581888050284675e+02
3.000000000000000000e+01,1.073731654272330758e+02
